index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42415603       -2.66884513      53.96      71.91
    2  WP1              51.42406609       -2.66917440      31.13      61.91
    3  WP2              51.42406609       -2.66877725      58.66      61.91
    4  WP3              51.42397616       -2.66870937      63.37      51.91
    5  WP4              51.42397616       -2.66950367       8.30      51.91
    6  WP5              51.42388623       -2.66983294     -14.53      41.91
    7  WP6              51.42388623       -2.66864149      68.08      41.91
    8  WP7              51.42379630       -2.66857361      72.78      31.91
    9  WP8              51.42379630       -2.67016221     -37.36      31.91
   10  WP9              51.42370637       -2.67049148     -60.19      21.91
   11  WP10             51.42370637       -2.66850573      77.49      21.91
   12  WP11             51.42361643       -2.66843785      82.20      11.91
   13  WP12             51.42361643       -2.67082075     -83.03      11.91
   14  WP13             51.42352650       -2.67115002    -105.86       1.91
   15  WP14             51.42352650       -2.66836997      86.90       1.91
   16  WP15             51.42343657       -2.66830209      91.61      -8.09
   17  WP16             51.42343657       -2.67106079     -99.67      -8.09
   18  WP17             51.42334664       -2.67095152     -92.09     -18.09
   19  WP18             51.42334664       -2.66842814      82.87     -18.09
   20  WP19             51.42325671       -2.66876833      59.28     -28.09
   21  WP20             51.42325671       -2.67079462     -81.21     -28.09
   22  WP21             51.42316677       -2.67059126     -67.11     -38.09
   23  WP22             51.42316677       -2.66910852      35.70     -38.09
   24  WP23             51.42307684       -2.66944870      12.11     -48.09
   25  WP24             51.42307684       -2.67038791     -53.01     -48.09
   26  WP25             51.42298691       -2.67018456     -38.91     -58.09
   27  WP26             51.42298691       -2.66978889     -11.48     -58.09
   28  WP27             51.42292144       -2.67003653     -28.65     -65.37
