index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42409728       -2.66888048      51.51      65.37
    2  W4_0             51.42350409       -2.67105235     -99.08      -0.59
    3  W0_0             51.42333491       -2.67084680     -84.83     -19.40
    4  W1_0             51.42297263       -2.67002763     -28.03     -59.68
    5  W2_0             51.42341253       -2.66836364      87.34     -10.77
    6  W3_1             51.42393448       -2.66875761      60.03      47.27
    7  W4_1             51.42343700       -2.67057903     -66.27      -8.05
    8  W1_1             51.42317740       -2.66999204     -25.57     -36.91
    9  W2_1             51.42350513       -2.66875234      60.39      -0.47
   10  W3_2             51.42369949       -2.66889904      50.22      21.14
   11  W4_2             51.42339980       -2.66999630     -25.86     -12.18
