index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42409728       -2.66888048      51.51      65.37
    2  WP1              51.42391741       -2.66953903       5.84      45.37
    3  WP2              51.42391741       -2.66874473      60.92      45.37
    4  WP3              51.42373755       -2.66860897      70.33      25.37
    5  WP4              51.42373755       -2.67019757     -39.82      25.37
    6  WP5              51.42355769       -2.67085611     -85.48       5.37
    7  WP6              51.42355769       -2.66847321      79.75       5.37
    8  WP7              51.42341253       -2.66836364      87.34     -10.77
    9  WP8              51.42337782       -2.66849493      78.24     -14.63
   10  WP9              51.42337782       -2.67089894     -88.45     -14.63
   11  WP10             51.42333491       -2.67084680     -84.83     -19.40
   12  WP11             51.42319796       -2.67053713     -63.36     -34.63
   13  WP12             51.42319796       -2.66917530      31.07     -34.63
   14  WP13             51.42301809       -2.66985568     -16.11     -54.63
   15  WP14             51.42301809       -2.67013042     -35.16     -54.63
   16  WP15             51.42297263       -2.67002763     -28.03     -59.68
