index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42413253       -2.66885927      52.98      69.29
    2  W4_0             51.42351507       -2.67111998    -103.77       0.64
    3  W0_0             51.42331531       -2.67087726     -86.94     -21.58
    4  W1_0             51.42294192       -2.67003297     -28.40     -63.10
    5  W2_0             51.42339864       -2.66830534      91.39     -12.31
    6  W3_1             51.42401857       -2.66877325      58.94      56.62
    7  W4_1             51.42346381       -2.67080438     -81.89      -5.06
    8  W0_1             51.42340679       -2.67073510     -77.09     -11.40
    9  W1_1             51.42308526       -2.67000806     -26.68     -47.16
   10  W2_1             51.42346346       -2.66857743      72.52      -5.10
   11  W3_2             51.42385407       -2.66887226      52.08      38.33
   12  W4_2             51.42342770       -2.67043335     -56.16      -9.08
   13  W1_2             51.42322860       -2.66998315     -24.95     -31.22
   14  W2_2             51.42352828       -2.66884951      53.65       2.10
   15  W3_3             51.42368958       -2.66897126      45.21      20.04
   16  W4_3             51.42340166       -2.67002544     -27.88     -11.98
