index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42413253       -2.66885927      52.98      69.29
    2  WP1              51.42400662       -2.66932025      21.02      55.29
    3  WP2              51.42400662       -2.66876424      59.57      55.29
    4  WP3              51.42388072       -2.66866921      66.16      41.29
    5  WP4              51.42388072       -2.66978123     -10.95      41.29
    6  WP5              51.42375481       -2.67024221     -42.91      27.29
    7  WP6              51.42375481       -2.66857418      72.75      27.29
    8  WP7              51.42362891       -2.66847914      79.33      13.29
    9  WP8              51.42362891       -2.67070318     -74.87      13.29
   10  WP9              51.42351507       -2.67111998    -103.77       0.64
   11  WP10             51.42350300       -2.67110532    -102.76      -0.71
   12  WP11             51.42350300       -2.66838411      85.92      -0.71
   13  WP12             51.42339864       -2.66830534      91.39     -12.31
   14  WP13             51.42337710       -2.66838682      85.73     -14.71
   15  WP14             51.42337710       -2.67095234     -92.15     -14.71
   16  WP15             51.42331531       -2.67087726     -86.94     -21.58
   17  WP16             51.42325119       -2.67073229     -76.89     -28.71
   18  WP17             51.42325119       -2.66886308      52.71     -28.71
   19  WP18             51.42312529       -2.66933934      19.69     -42.71
   20  WP19             51.42312529       -2.67044760     -57.15     -42.71
   21  WP20             51.42299938       -2.67016291     -37.41     -56.71
   22  WP21             51.42299938       -2.66981561     -13.33     -56.71
   23  WP22             51.42294192       -2.67003297     -28.40     -63.10
