index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42419128       -2.66882391      55.43      75.83
    2  WP1              51.42415530       -2.66895562      46.30      71.83
    3  WP2              51.42415530       -2.66879676      57.31      71.83
    4  WP3              51.42411933       -2.66876961      59.19      67.83
    5  WP4              51.42411933       -2.66908733      37.16      67.83
    6  WP5              51.42408336       -2.66921904      28.03      63.83
    7  WP6              51.42408336       -2.66874246      61.08      63.83
    8  WP7              51.42404738       -2.66871530      62.96      59.83
    9  WP8              51.42404738       -2.66935074      18.90      59.83
   10  WP9              51.42401141       -2.66948245       9.77      55.83
   11  WP10             51.42401141       -2.66868815      64.84      55.83
   12  WP11             51.42397544       -2.66866100      66.72      51.83
   13  WP12             51.42397544       -2.66961416       0.64      51.83
   14  WP13             51.42393947       -2.66974587      -8.50      47.83
   15  WP14             51.42393947       -2.66863385      68.61      47.83
   16  WP15             51.42390349       -2.66860670      70.49      43.83
   17  WP16             51.42390349       -2.66987758     -17.63      43.83
   18  WP17             51.42386752       -2.67000929     -26.76      39.83
   19  WP18             51.42386752       -2.66857955      72.37      39.83
   20  WP19             51.42383155       -2.66855239      74.25      35.83
   21  WP20             51.42383155       -2.67014099     -35.89      35.83
   22  WP21             51.42379557       -2.67027270     -45.02      31.83
   23  WP22             51.42379557       -2.66852524      76.14      31.83
   24  WP23             51.42375960       -2.66849809      78.02      27.83
   25  WP24             51.42375960       -2.67040441     -54.16      27.83
   26  WP25             51.42372363       -2.67053612     -63.29      23.83
   27  WP26             51.42372363       -2.66847094      79.90      23.83
   28  WP27             51.42368766       -2.66844379      81.79      19.83
   29  WP28             51.42368766       -2.67066783     -72.42      19.83
   30  WP29             51.42365168       -2.67079953     -81.55      15.83
   31  WP30             51.42365168       -2.66841663      83.67      15.83
   32  WP31             51.42361571       -2.66838948      85.55      11.83
   33  WP32             51.42361571       -2.67093124     -90.69      11.83
   34  WP33             51.42357974       -2.67106295     -99.82       7.83
   35  WP34             51.42357974       -2.66836233      87.43       7.83
   36  WP35             51.42354376       -2.66833518      89.32       3.83
   37  WP36             51.42354376       -2.67119466    -108.95       3.83
   38  WP37             51.42353338       -2.67123270    -111.59       2.67
   39  WP38             51.42350779       -2.67120161    -109.43      -0.17
   40  WP39             51.42350779       -2.66830803      91.20      -0.17
   41  WP40             51.42347182       -2.66828088      93.08      -4.17
   42  WP41             51.42347182       -2.67115790    -106.40      -4.17
   43  WP42             51.42343585       -2.67111419    -103.37      -8.17
   44  WP43             51.42343585       -2.66825372      94.96      -8.17
   45  WP44             51.42339987       -2.66822657      96.85     -12.17
   46  WP45             51.42339987       -2.67107048    -100.34     -12.17
   47  WP46             51.42336390       -2.67102678     -97.31     -16.17
   48  WP47             51.42336390       -2.66825200      95.08     -16.17
   49  WP48             51.42332793       -2.66838807      85.65     -20.17
   50  WP49             51.42332793       -2.67098307     -94.28     -20.17
   51  WP50             51.42329195       -2.67093936     -91.25     -24.17
   52  WP51             51.42329195       -2.66852415      76.21     -24.17
   53  WP52             51.42325598       -2.66866022      66.78     -28.17
   54  WP53             51.42325598       -2.67086777     -86.28     -28.17
   55  WP54             51.42322001       -2.67078643     -80.64     -32.17
   56  WP55             51.42322001       -2.66879630      57.34     -32.17
   57  WP56             51.42318404       -2.66893237      47.91     -36.17
   58  WP57             51.42318404       -2.67070509     -75.00     -36.17
   59  WP58             51.42314806       -2.67062375     -69.36     -40.17
   60  WP59             51.42314806       -2.66906845      38.47     -40.17
   61  WP60             51.42311209       -2.66920452      29.04     -44.17
   62  WP61             51.42311209       -2.67054241     -63.73     -44.17
   63  WP62             51.42307612       -2.67046107     -58.09     -48.17
   64  WP63             51.42307612       -2.66934060      19.60     -48.17
   65  WP64             51.42304014       -2.66947667      10.17     -52.17
   66  WP65             51.42304014       -2.67037973     -52.45     -52.17
   67  WP66             51.42300417       -2.67029838     -46.81     -56.17
   68  WP67             51.42300417       -2.66961274       0.73     -56.17
   69  WP68             51.42296820       -2.66974882      -8.70     -60.17
   70  WP69             51.42296820       -2.67021704     -41.17     -60.17
   71  WP70             51.42293223       -2.67013570     -35.53     -64.17
   72  WP71             51.42293223       -2.66988489     -18.14     -64.17
   73  WP72             51.42289625       -2.67002097     -27.57     -68.17
   74  WP73             51.42289625       -2.67005436     -29.89     -68.17
   75  WP74             51.42289073       -2.67004187     -29.02     -68.79
