index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42419128       -2.66882391      55.43      75.83
    2  W4_0             51.42353338       -2.67123270    -111.59       2.67
    3  W0_0             51.42328263       -2.67092804     -90.46     -25.21
    4  W1_0             51.42289073       -2.67004187     -29.02     -68.79
    5  W2_0             51.42337549       -2.66820817      98.12     -14.89
    6  W3_1             51.42415872       -2.66879934      57.13      72.20
    7  W4_1             51.42351873       -2.67114252    -105.34       1.04
    8  W0_1             51.42330877       -2.67088742     -87.65     -22.30
    9  W1_1             51.42293168       -2.67003475     -28.53     -64.23
   10  W2_1             51.42339401       -2.66828590      92.73     -12.83
   11  W3_2             51.42411172       -2.66882762      55.17      66.98
   12  W4_2             51.42350409       -2.67105235     -99.08      -0.59
   13  W0_2             51.42333491       -2.67084680     -84.83     -19.40
   14  W1_2             51.42297263       -2.67002763     -28.03     -59.68
   15  W2_2             51.42341253       -2.66836364      87.34     -10.77
   16  W3_3             51.42406472       -2.66885591      53.21      61.75
   17  W4_3             51.42348944       -2.67096218     -92.83      -2.21
   18  W0_3             51.42336105       -2.67080618     -82.02     -16.49
   19  W1_3             51.42301359       -2.67002052     -27.54     -55.13
   20  W2_3             51.42343105       -2.66844138      81.95      -8.71
   21  W3_4             51.42401772       -2.66888419      51.25      56.53
   22  W4_4             51.42347480       -2.67087201     -86.58      -3.84
   23  W0_4             51.42338719       -2.67076556     -79.20     -13.59
   24  W1_4             51.42305454       -2.67001340     -27.05     -50.57
   25  W2_4             51.42344957       -2.66851912      76.56      -6.65
   26  W3_5             51.42397072       -2.66891248      49.29      51.30
   27  W4_5             51.42346015       -2.67078184     -80.33      -5.47
   28  W0_5             51.42341333       -2.67072494     -76.38     -10.68
   29  W1_5             51.42309550       -2.67000628     -26.55     -46.02
   30  W2_5             51.42346809       -2.66859686      71.17      -4.59
   31  W3_6             51.42392373       -2.66894077      47.33      46.08
   32  W4_6             51.42344551       -2.67069167     -74.08      -7.10
   33  W0_6             51.42343946       -2.67068432     -73.57      -7.77
   34  W1_6             51.42313645       -2.66999916     -26.06     -41.47
   35  W2_6             51.42348661       -2.66867460      65.78      -2.53
   36  W3_7             51.42387673       -2.66896905      45.37      40.85
   37  W4_7             51.42343700       -2.67057903     -66.27      -8.05
   38  W1_7             51.42317740       -2.66999204     -25.57     -36.91
   39  W2_7             51.42350513       -2.66875234      60.39      -0.47
   40  W3_8             51.42382973       -2.66899734      43.40      35.62
   41  W4_8             51.42342956       -2.67046249     -58.18      -8.87
   42  W1_8             51.42321836       -2.66998493     -25.07     -32.36
   43  W2_8             51.42352365       -2.66883008      55.00       1.59
   44  W3_9             51.42378273       -2.66902563      41.44      30.40
   45  W4_9             51.42342212       -2.67034594     -50.10      -9.70
   46  W1_9             51.42325931       -2.66997781     -24.58     -27.80
   47  W2_9             51.42354218       -2.66890782      49.61       3.65
   48  W3_10            51.42373573       -2.66905391      39.48      25.17
   49  W4_10            51.42341468       -2.67022940     -42.02     -10.53
   50  W1_10            51.42330027       -2.66997069     -24.09     -23.25
   51  W2_10            51.42356070       -2.66898556      44.22       5.71
   52  W3_11            51.42368874       -2.66908220      37.52      19.95
   53  W4_11            51.42340724       -2.67011285     -33.94     -11.36
   54  W1_11            51.42334122       -2.66996357     -23.59     -18.70
   55  W2_11            51.42357922       -2.66906330      38.83       7.77
   56  W3_12            51.42364174       -2.66911049      35.56      14.72
   57  W4_12            51.42339980       -2.66999630     -25.86     -12.18
