index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42410315       -2.66887695      51.75      66.03
    2  WP1              51.42393228       -2.66950256       8.37      47.03
    3  WP2              51.42393228       -2.66874798      60.69      47.03
    4  WP3              51.42376141       -2.66861901      69.64      28.03
    5  WP4              51.42376141       -2.67012818     -35.00      28.03
    6  WP5              51.42359054       -2.67075379     -78.38       9.03
    7  WP6              51.42359054       -2.66849004      78.58       9.03
    8  WP7              51.42341967       -2.66836106      87.52      -9.97
    9  WP8              51.42341967       -2.67095883     -92.60      -9.97
   10  WP9              51.42333164       -2.67085188     -85.18     -19.76
   11  WP10             51.42324880       -2.67066455     -72.19     -28.97
   12  WP11             51.42324880       -2.66896451      45.68     -28.97
   13  WP12             51.42307793       -2.66961087       0.86     -47.97
   14  WP13             51.42307793       -2.67027818     -45.41     -47.97
   15  WP14             51.42296752       -2.67002852     -28.09     -60.25
