index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42410315       -2.66887695      51.75      66.03
    2  W4_0             51.42350592       -2.67106362     -99.86      -0.38
    3  W0_0             51.42333164       -2.67085188     -85.18     -19.76
    4  W1_0             51.42296752       -2.67002852     -28.09     -60.25
    5  W2_0             51.42341021       -2.66835393      88.02     -11.02
    6  W3_1             51.42394849       -2.66876021      59.85      48.83
    7  W4_1             51.42343979       -2.67062274     -69.30      -7.74
    8  W1_1             51.42316205       -2.66999471     -25.75     -38.62
    9  W2_1             51.42349819       -2.66872319      62.41      -1.24
   10  W3_2             51.42372525       -2.66889457      50.53      24.01
   11  W4_2             51.42340445       -2.67006914     -30.91     -11.66
