index  name         lat               lon              x_m        y_m
----------------------------------------------------------------------------------
    0  start             51.42403285       -2.66882814      55.14      58.21
    1  plb_entry         51.42361846       -2.67022033     -41.39      12.13
    2  search_0          51.42357614       -2.67023613     -42.49       7.43
    3  search_1          51.42356610       -2.67030331     -47.15       6.31
    4  search_2          51.42358635       -2.67034092     -49.76       8.56
    5  search_3          51.42363586       -2.67033303     -49.21      14.07
    6  search_4          51.42364838       -2.67029853     -46.82      15.46
    7  search_5          51.42361846       -2.67022033     -41.39      12.13
