index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42407378       -2.66889463      50.53      62.76
    2  WP1              51.42385794       -2.66968488      -4.27      38.76
    3  WP2              51.42385794       -2.66873172      61.82      38.76
    4  WP3              51.42364211       -2.66856881      73.12      14.76
    5  WP4              51.42364211       -2.67047513     -59.06      14.76
    6  WP5              51.42349676       -2.67100727     -95.96      -1.40
    7  WP6              51.42342627       -2.67092161     -90.02      -9.24
    8  WP7              51.42342627       -2.66840589      84.41      -9.24
    9  WP8              51.42342179       -2.66840251      84.65      -9.74
   10  WP9              51.42321043       -2.66920202      29.21     -33.24
   11  WP10             51.42321043       -2.67051547     -61.86     -33.24
   12  WP11             51.42299459       -2.67002743     -28.02     -57.24
   13  WP12             51.42299459       -2.67001847     -27.40     -57.24
   14  WP13             51.42299311       -2.67002407     -27.79     -57.40
