index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42416778       -2.66883805      54.45      73.21
    2  W4_0             51.42352605       -2.67118761    -108.46       1.86
    3  W0_0             51.42329570       -2.67090773     -89.06     -23.76
    4  W1_0             51.42291120       -2.67003831     -28.77     -66.51
    5  W2_0             51.42338475       -2.66824704      95.43     -13.86
    6  W3_1             51.42410266       -2.66878890      57.86      65.97
    7  W4_1             51.42349676       -2.67100727     -95.96      -1.40
    8  W0_1             51.42334798       -2.67082649     -83.42     -17.94
    9  W1_1             51.42299311       -2.67002407     -27.79     -57.40
   10  W2_1             51.42342179       -2.66840251      84.65      -9.74
   11  W3_2             51.42400866       -2.66884548      53.93      55.52
   12  W4_2             51.42346748       -2.67082693     -83.45      -4.66
   13  W0_2             51.42340026       -2.67074525     -77.79     -12.13
   14  W1_2             51.42307502       -2.67000984     -26.80     -48.30
   15  W2_2             51.42345883       -2.66855799      73.87      -5.62
   16  W3_3             51.42391466       -2.66890205      50.01      45.07
   17  W4_3             51.42344072       -2.67063731     -70.31      -7.63
   18  W1_3             51.42315693       -2.66999560     -25.81     -39.19
   19  W2_3             51.42349587       -2.66871347      63.09      -1.50
   20  W3_4             51.42382067       -2.66895862      46.09      34.62
   21  W4_4             51.42342584       -2.67040421     -54.14      -9.29
   22  W1_4             51.42323884       -2.66998137     -24.82     -30.08
   23  W2_4             51.42353291       -2.66886895      52.31       2.62
   24  W3_5             51.42372667       -2.66901519      42.17      24.16
   25  W4_5             51.42341096       -2.67017112     -37.98     -10.94
   26  W1_5             51.42332074       -2.66996713     -23.84     -20.97
   27  W2_5             51.42356996       -2.66902443      41.53       6.74
   28  W3_6             51.42363268       -2.66907177      38.24      13.71
   29  W4_6             51.42339608       -2.66993803     -21.82     -12.60
