index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42416778       -2.66883805      54.45      73.21
    2  WP1              51.42409583       -2.66910147      36.18      65.21
    3  WP2              51.42409583       -2.66878375      58.21      65.21
    4  WP3              51.42402388       -2.66872945      61.98      57.21
    5  WP4              51.42402388       -2.66936489      17.92      57.21
    6  WP5              51.42395194       -2.66962830      -0.34      49.21
    7  WP6              51.42395194       -2.66867514      65.74      49.21
    8  WP7              51.42387999       -2.66862084      69.51      41.21
    9  WP8              51.42387999       -2.66989172     -18.61      41.21
   10  WP9              51.42380805       -2.67015514     -36.87      33.21
   11  WP10             51.42380805       -2.66856654      73.27      33.21
   12  WP11             51.42373610       -2.66851223      77.04      25.21
   13  WP12             51.42373610       -2.67041855     -55.14      25.21
   14  WP13             51.42366416       -2.67068197     -73.40      17.21
   15  WP14             51.42366416       -2.66845793      80.81      17.21
   16  WP15             51.42359221       -2.66840363      84.57       9.21
   17  WP16             51.42359221       -2.67094539     -91.67       9.21
   18  WP17             51.42352605       -2.67118761    -108.46       1.86
   19  WP18             51.42352026       -2.67118058    -107.97       1.21
   20  WP19             51.42352026       -2.66834932      88.33       1.21
   21  WP20             51.42344832       -2.66829502      92.10      -6.79
   22  WP21             51.42344832       -2.67109316    -101.91      -6.79
   23  WP22             51.42337637       -2.67100574     -95.85     -14.79
   24  WP23             51.42337637       -2.66827871      93.23     -14.79
   25  WP24             51.42330443       -2.66855086      74.36     -22.79
   26  WP25             51.42330443       -2.67091833     -89.79     -22.79
   27  WP26             51.42329570       -2.67090773     -89.06     -23.76
   28  WP27             51.42323248       -2.67076477     -79.14     -30.79
   29  WP28             51.42323248       -2.66882301      55.49     -30.79
   30  WP29             51.42316054       -2.66909516      36.62     -38.79
   31  WP30             51.42316054       -2.67060209     -67.86     -38.79
   32  WP31             51.42308859       -2.67043941     -56.58     -46.79
   33  WP32             51.42308859       -2.66936731      17.75     -46.79
   34  WP33             51.42301664       -2.66963946      -1.12     -54.79
   35  WP34             51.42301664       -2.67027673     -45.30     -54.79
   36  WP35             51.42294470       -2.67011405     -34.02     -62.79
   37  WP36             51.42294470       -2.66991161     -19.99     -62.79
   38  WP37             51.42291120       -2.67003831     -28.77     -66.51
