index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42415015       -2.66884866      53.71      71.25
    2  W4_0             51.42352056       -2.67115380    -106.12       1.25
    3  W0_0             51.42330551       -2.67089249     -88.00     -22.67
    4  W1_0             51.42292656       -2.67003564     -28.59     -64.80
    5  W2_0             51.42339169       -2.66827619      93.41     -13.08
    6  W3_1             51.42406061       -2.66878108      58.40      61.30
    7  W4_1             51.42348029       -2.67090583     -88.92      -3.23
    8  W0_1             51.42337739       -2.67078079     -80.25     -14.68
    9  W1_1             51.42303919       -2.67001607     -27.23     -52.28
   10  W2_1             51.42344263       -2.66848997      78.58      -7.42
   11  W3_2             51.42393137       -2.66885887      53.01      46.92
   12  W4_2             51.42344165       -2.67065187     -71.32      -7.53
   13  W1_2             51.42315181       -2.66999649     -25.87     -39.76
   14  W2_2             51.42349356       -2.66870375      63.76      -1.76
   15  W3_3             51.42380212       -2.66893665      47.61      32.55
   16  W4_3             51.42342119       -2.67033137     -49.09      -9.80
   17  W1_3             51.42326443       -2.66997692     -24.52     -27.23
   18  W2_3             51.42354449       -2.66891754      48.94       3.91
   19  W3_4             51.42367288       -2.66901444      42.22      18.18
   20  W4_4             51.42340073       -2.67001087     -26.87     -12.08
