index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42415015       -2.66884866      53.71      71.25
    2  WP1              51.42405123       -2.66921086      28.60      60.25
    3  WP2              51.42405123       -2.66877399      58.89      60.25
    4  WP3              51.42395230       -2.66869933      64.07      49.25
    5  WP4              51.42395230       -2.66957306       3.49      49.25
    6  WP5              51.42385338       -2.66993525     -21.63      38.25
    7  WP6              51.42385338       -2.66862466      69.24      38.25
    8  WP7              51.42375445       -2.66854999      74.42      27.25
    9  WP8              51.42375445       -2.67029745     -46.74      27.25
   10  WP9              51.42365553       -2.67065965     -71.86      16.25
   11  WP10             51.42365553       -2.66847532      79.60      16.25
   12  WP11             51.42355660       -2.66840066      84.78       5.25
   13  WP12             51.42355660       -2.67102185     -96.97       5.25
   14  WP13             51.42352056       -2.67115380    -106.12       1.25
   15  WP14             51.42345767       -2.67107739    -100.82      -5.75
   16  WP15             51.42345767       -2.66832599      89.95      -5.75
   17  WP16             51.42339169       -2.66827619      93.41     -13.08
   18  WP17             51.42335875       -2.66840080      84.77     -16.75
   19  WP18             51.42335875       -2.67095719     -92.48     -16.75
   20  WP19             51.42330551       -2.67089249     -88.00     -22.67
   21  WP20             51.42325982       -2.67078920     -80.84     -27.75
   22  WP21             51.42325982       -2.66877501      58.82     -27.75
   23  WP22             51.42316090       -2.66914921      32.87     -38.75
   24  WP23             51.42316090       -2.67056551     -65.33     -38.75
   25  WP24             51.42306197       -2.67034183     -49.82     -49.75
   26  WP25             51.42306197       -2.66952342       6.93     -49.75
   27  WP26             51.42296305       -2.66989763     -19.02     -60.75
   28  WP27             51.42296305       -2.67011814     -34.31     -60.75
   29  WP28             51.42292656       -2.67003564     -28.59     -64.80
