index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42413840       -2.66885573      53.22      69.95
    2  W4_0             51.42351690       -2.67113125    -104.55       0.84
    3  W0_0             51.42331204       -2.67088234     -87.30     -21.94
    4  W1_0             51.42293680       -2.67003386     -28.46     -63.66
    5  W2_0             51.42339632       -2.66829562      92.06     -12.57
    6  W3_1             51.42403258       -2.66877586      58.76      58.18
    7  W4_1             51.42346931       -2.67083820     -84.23      -4.45
    8  W0_1             51.42339699       -2.67075033     -78.14     -12.49
    9  W1_1             51.42306990       -2.67001073     -26.86     -48.87
   10  W2_1             51.42345652       -2.66854827      74.54      -5.88
   11  W3_2             51.42387984       -2.66886779      52.39      41.20
   12  W4_2             51.42343235       -2.67050619     -61.22      -8.56
   13  W1_2             51.42320300       -2.66998760     -25.26     -34.06
   14  W2_2             51.42351671       -2.66880093      57.02       0.82
   15  W3_3             51.42372710       -2.66895972      46.01      24.21
   16  W4_3             51.42340817       -2.67012742     -34.95     -11.25
