index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42414428       -2.66885220      53.47      70.60
    2  WP1              51.42403636       -2.66924732      26.07      58.60
    3  WP2              51.42403636       -2.66877074      59.12      58.60
    4  WP3              51.42392844       -2.66868929      64.76      46.60
    5  WP4              51.42392844       -2.66964245      -1.32      46.60
    6  WP5              51.42382052       -2.67003757     -28.72      34.60
    7  WP6              51.42382052       -2.66860783      70.41      34.60
    8  WP7              51.42371260       -2.66852638      76.06      22.60
    9  WP8              51.42371260       -2.67043270     -56.12      22.60
   10  WP9              51.42360468       -2.67082782     -83.52      10.60
   11  WP10             51.42360468       -2.66844492      81.71      10.60
   12  WP11             51.42349677       -2.66836347      87.36      -1.40
   13  WP12             51.42349677       -2.67111584    -103.48      -1.40
   14  WP13             51.42338885       -2.67098471     -94.39     -13.40
   15  WP14             51.42338885       -2.66830542      91.38     -13.40
   16  WP15             51.42328093       -2.66871365      63.07     -25.40
   17  WP16             51.42328093       -2.67082446     -83.28     -25.40
   18  WP17             51.42317301       -2.67058044     -66.36     -37.40
   19  WP18             51.42317301       -2.66912187      34.77     -37.40
   20  WP19             51.42306509       -2.66953010       6.46     -49.40
   21  WP20             51.42306509       -2.67033641     -49.44     -49.40
   22  WP21             51.42295717       -2.67009239     -32.52     -61.40
   23  WP22             51.42295717       -2.66993832     -21.84     -61.40
   24  WP23             51.42293168       -2.67003475     -28.53     -64.23
