index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42407966       -2.66889109      50.77      63.41
    2  W4_0             51.42349859       -2.67101854     -96.74      -1.20
    3  W0_0             51.42334471       -2.67083157     -83.78     -18.31
    4  W1_0             51.42298799       -2.67002496     -27.85     -57.97
    5  W2_0             51.42341947       -2.66839280      85.32      -9.99
    6  W3_1             51.42389243       -2.66874978      60.57      42.60
    7  W4_1             51.42342863       -2.67044792     -57.17      -8.98
    8  W1_1             51.42322348       -2.66998404     -25.01     -31.79
    9  W2_1             51.42352597       -2.66883980      54.33       1.85
   10  W3_2             51.42362220       -2.66891243      49.29      12.55
   11  W4_2             51.42338585       -2.66977778     -10.71     -13.73
