index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42407966       -2.66889109      50.77      63.41
    2  WP1              51.42387281       -2.66964841      -1.74      40.41
    3  WP2              51.42387281       -2.66873497      61.60      40.41
    4  WP3              51.42366597       -2.66857885      72.42      17.41
    5  WP4              51.42366597       -2.67040574     -54.25      17.41
    6  WP5              51.42349859       -2.67101854     -96.74      -1.20
    7  WP6              51.42345912       -2.67097058     -93.41      -5.59
    8  WP7              51.42345912       -2.66842272      83.25      -5.59
    9  WP8              51.42341947       -2.66839280      85.32      -9.99
   10  WP9              51.42325228       -2.66902525      41.47     -28.59
   11  WP10             51.42325228       -2.67062256     -69.28     -28.59
   12  WP11             51.42304544       -2.67015485     -36.85     -51.59
   13  WP12             51.42304544       -2.66980768     -12.78     -51.59
   14  WP13             51.42298799       -2.67002496     -27.85     -57.97
