index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42409140       -2.66888402      51.26      64.72
    2  W4_0             51.42350226       -2.67104108     -98.30      -0.79
    3  W0_0             51.42333818       -2.67084172     -84.48     -19.03
    4  W1_0             51.42297775       -2.67002674     -27.97     -59.11
    5  W2_0             51.42341484       -2.66837336      86.67     -10.51
    6  W3_1             51.42392046       -2.66875500      60.21      45.71
    7  W4_1             51.42343421       -2.67053533     -63.23      -8.36
    8  W1_1             51.42319276       -2.66998937     -25.38     -35.20
    9  W2_1             51.42351208       -2.66878149      58.37       0.30
   10  W3_2             51.42367372       -2.66890350      49.91      18.28
   11  W4_2             51.42339515       -2.66992346     -20.81     -12.70
