index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42409140       -2.66888402      51.26      64.72
    2  WP1              51.42390255       -2.66957549       3.32      43.72
    3  WP2              51.42390255       -2.66874147      61.15      43.72
    4  WP3              51.42371369       -2.66859893      71.03      22.72
    5  WP4              51.42371369       -2.67026696     -44.63      22.72
    6  WP5              51.42352483       -2.67095842     -92.57       1.72
    7  WP6              51.42352483       -2.66845638      80.91       1.72
    8  WP7              51.42341484       -2.66837336      86.67     -10.51
    9  WP8              51.42333597       -2.66867170      65.98     -19.28
   10  WP9              51.42333597       -2.67083674     -84.13     -19.28
   11  WP10             51.42314712       -2.67040970     -54.52     -40.28
   12  WP11             51.42314712       -2.66938609      16.45     -40.28
   13  WP12             51.42297775       -2.67002674     -27.97     -59.11
