index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42410903       -2.66887341      52.00      66.68
    2  WP1              51.42394715       -2.66946610      10.90      48.68
    3  WP2              51.42394715       -2.66875123      60.47      48.68
    4  WP3              51.42378527       -2.66862905      68.94      30.68
    5  WP4              51.42378527       -2.67005879     -30.19      30.68
    6  WP5              51.42362340       -2.67065147     -71.29      12.68
    7  WP6              51.42362340       -2.66850686      77.41      12.68
    8  WP7              51.42346152       -2.66838468      85.88      -5.32
    9  WP8              51.42346152       -2.67101872     -96.75      -5.32
   10  WP9              51.42332838       -2.67085695     -85.53     -20.12
   11  WP10             51.42329964       -2.67079198     -81.03     -23.32
   12  WP11             51.42329964       -2.66875372      60.30     -23.32
   13  WP12             51.42313776       -2.66936606      17.84     -41.32
   14  WP13             51.42313776       -2.67042594     -55.65     -41.32
   15  WP14             51.42297588       -2.67005991     -30.27     -59.32
   16  WP15             51.42297588       -2.66997840     -24.62     -59.32
   17  WP16             51.42296240       -2.67002941     -28.16     -60.82
