index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42410903       -2.66887341      52.00      66.68
    2  W4_0             51.42350775       -2.67107490    -100.65      -0.18
    3  W0_0             51.42332838       -2.67085695     -85.53     -20.12
    4  W1_0             51.42296240       -2.67002941     -28.16     -60.82
    5  W2_0             51.42340790       -2.66834421      88.69     -11.28
    6  W3_1             51.42396251       -2.66876282      59.66      50.39
    7  W4_1             51.42344258       -2.67066644     -72.33      -7.42
    8  W1_1             51.42314669       -2.66999738     -25.93     -40.33
    9  W2_1             51.42349124       -2.66869404      64.43      -2.01
   10  W3_2             51.42375102       -2.66889011      50.84      26.87
   11  W4_2             51.42340910       -2.67014199     -35.96     -11.15
