index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42412665       -2.66886281      52.73      68.64
    2  WP1              51.42399175       -2.66935671      18.49      53.64
    3  WP2              51.42399175       -2.66876099      59.79      53.64
    4  WP3              51.42385686       -2.66865917      66.85      38.64
    5  WP4              51.42385686       -2.66985062     -15.76      38.64
    6  WP5              51.42372196       -2.67034452     -50.01      23.64
    7  WP6              51.42372196       -2.66855735      73.91      23.64
    8  WP7              51.42358706       -2.66845553      80.97       8.64
    9  WP8              51.42358706       -2.67083843     -84.25       8.64
   10  WP9              51.42351324       -2.67110871    -102.99       0.43
   11  WP10             51.42345216       -2.67103450     -97.85      -6.36
   12  WP11             51.42345216       -2.66835371      88.03      -6.36
   13  WP12             51.42340095       -2.66831506      90.71     -12.05
   14  WP13             51.42331726       -2.66863163      68.76     -21.36
   15  WP14             51.42331726       -2.67086922     -86.39     -21.36
   16  WP15             51.42318237       -2.67056419     -65.24     -36.36
   17  WP16             51.42318237       -2.66914191      33.38     -36.36
   18  WP17             51.42304747       -2.66965219      -2.00     -51.36
   19  WP18             51.42304747       -2.67025917     -44.09     -51.36
   20  WP19             51.42294704       -2.67003208     -28.34     -62.53
