index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42412665       -2.66886281      52.73      68.64
    2  W4_0             51.42351324       -2.67110871    -102.99       0.43
    3  W0_0             51.42331857       -2.67087219     -86.59     -21.21
    4  W1_0             51.42294704       -2.67003208     -28.34     -62.53
    5  W2_0             51.42340095       -2.66831506      90.71     -12.05
    6  W3_1             51.42400455       -2.66877065      59.12      55.06
    7  W4_1             51.42345832       -2.67077057     -79.55      -5.67
    8  W0_1             51.42341659       -2.67071987     -76.03     -10.31
    9  W1_1             51.42310062       -2.67000539     -26.49     -45.45
   10  W2_1             51.42347041       -2.66860658      70.50      -4.33
   11  W3_2             51.42382831       -2.66887672      51.77      35.47
   12  W4_2             51.42342305       -2.67036051     -51.11      -9.60
   13  W1_2             51.42325419       -2.66997870     -24.64     -28.37
   14  W2_2             51.42353986       -2.66889810      50.28       3.39
   15  W3_3             51.42365207       -2.66898279      44.41      15.87
   16  W4_3             51.42339515       -2.66992346     -20.81     -12.70
