index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42412078       -2.66886634      52.49      67.99
    2  W4_0             51.42351141       -2.67109744    -102.21       0.23
    3  W0_0             51.42332184       -2.67086711     -86.24     -20.85
    4  W1_0             51.42295216       -2.67003119     -28.28     -61.96
    5  W2_0             51.42340327       -2.66832477      90.04     -11.80
    6  W3_1             51.42399054       -2.66876804      59.30      53.51
    7  W4_1             51.42345283       -2.67073676     -77.20      -6.29
    8  W0_1             51.42342639       -2.67070463     -74.97      -9.22
    9  W1_1             51.42311597       -2.67000272     -26.31     -43.74
   10  W2_1             51.42347735       -2.66863573      68.48      -3.56
   11  W3_2             51.42380255       -2.66888118      51.46      32.60
   12  W4_2             51.42341840       -2.67028767     -46.06     -10.11
   13  W1_2             51.42327979       -2.66997425     -24.33     -25.53
   14  W2_2             51.42355144       -2.66894669      46.92       4.68
   15  W3_3             51.42361455       -2.66899433      43.61      11.70
   16  W4_3             51.42338864       -2.66982148     -13.74     -13.42
