index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42412078       -2.66886634      52.49      67.99
    2  WP1              51.42397689       -2.66939317      15.96      51.99
    3  WP2              51.42397689       -2.66875773      60.02      51.99
    4  WP3              51.42383300       -2.66864913      67.55      35.99
    5  WP4              51.42383300       -2.66992001     -20.57      35.99
    6  WP5              51.42368910       -2.67044684     -57.10      19.99
    7  WP6              51.42368910       -2.66854052      75.08      19.99
    8  WP7              51.42354521       -2.66843191      82.61       3.99
    9  WP8              51.42354521       -2.67097367     -93.63       3.99
   10  WP9              51.42351141       -2.67109744    -102.21       0.23
   11  WP10             51.42340132       -2.67096368     -92.94     -12.01
   12  WP11             51.42340132       -2.66833214      89.53     -12.01
   13  WP12             51.42325743       -2.66887644      51.79     -28.01
   14  WP13             51.42325743       -2.67072146     -76.14     -28.01
   15  WP14             51.42311354       -2.67039610     -53.58     -44.01
   16  WP15             51.42311354       -2.66942074      14.05     -44.01
   17  WP16             51.42296965       -2.66996504     -23.69     -60.01
   18  WP17             51.42296965       -2.67007074     -31.02     -60.01
   19  WP18             51.42295216       -2.67003119     -28.28     -61.96
