index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42411490       -2.66886988      52.24      67.33
    2  WP1              51.42396202       -2.66942964      13.43      50.33
    3  WP2              51.42396202       -2.66875448      60.24      50.33
    4  WP3              51.42380913       -2.66863909      68.24      33.33
    5  WP4              51.42380913       -2.66998940     -25.38      33.33
    6  WP5              51.42365625       -2.67054916     -64.19      16.33
    7  WP6              51.42365625       -2.66852369      76.25      16.33
    8  WP7              51.42350336       -2.66840830      84.25      -0.67
    9  WP8              51.42350336       -2.67107862    -100.91      -0.67
   10  WP9              51.42335048       -2.67089286     -88.03     -17.67
   11  WP10             51.42335048       -2.66854293      74.91     -17.67
   12  WP11             51.42319760       -2.66912125      34.81     -34.67
   13  WP12             51.42319760       -2.67057370     -65.90     -34.67
   14  WP13             51.42304471       -2.67022800     -41.93     -51.67
   15  WP14             51.42304471       -2.66969957      -5.29     -51.67
   16  WP15             51.42295728       -2.67003030     -28.22     -61.39
