index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42411490       -2.66886988      52.24      67.33
    2  W4_0             51.42350958       -2.67108617    -101.43       0.03
    3  W0_0             51.42332511       -2.67086203     -85.89     -20.49
    4  W1_0             51.42295728       -2.67003030     -28.22     -61.39
    5  W2_0             51.42340558       -2.66833449      89.36     -11.54
    6  W3_1             51.42397652       -2.66876543      59.48      51.95
    7  W4_1             51.42344734       -2.67070294     -74.86      -6.90
    8  W0_1             51.42343620       -2.67068940     -73.92      -8.13
    9  W1_1             51.42313133       -2.67000005     -26.12     -42.03
   10  W2_1             51.42348430       -2.66866488      66.45      -2.79
   11  W3_2             51.42377678       -2.66888565      51.15      29.74
   12  W4_2             51.42341375       -2.67021483     -41.01     -10.63
   13  W1_2             51.42330539       -2.66996980     -24.02     -22.68
   14  W2_2             51.42356301       -2.66899527      43.55       5.97
   15  W3_3             51.42357704       -2.66900586      42.81       7.53
   16  W4_3             51.42338213       -2.66971951      -6.67     -14.15
