index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42417365       -2.66883452      54.69      73.87
    2  WP1              51.42411070       -2.66906501      38.71      66.87
    3  WP2              51.42411070       -2.66878700      57.99      66.87
    4  WP3              51.42404775       -2.66873949      61.28      59.87
    5  WP4              51.42404775       -2.66929550      22.73      59.87
    6  WP5              51.42398479       -2.66952599       6.75      52.87
    7  WP6              51.42398479       -2.66869197      64.58      52.87
    8  WP7              51.42392184       -2.66864446      67.87      45.87
    9  WP8              51.42392184       -2.66975648      -9.23      45.87
   10  WP9              51.42385889       -2.66998697     -25.21      38.87
   11  WP10             51.42385889       -2.66859694      71.17      38.87
   12  WP11             51.42379594       -2.66854943      74.46      31.87
   13  WP12             51.42379594       -2.67021746     -41.20      31.87
   14  WP13             51.42373298       -2.67044794     -57.18      24.87
   15  WP14             51.42373298       -2.66850191      77.76      24.87
   16  WP15             51.42367003       -2.66845439      81.05      17.87
   17  WP16             51.42367003       -2.67067843     -73.16      17.87
   18  WP17             51.42360708       -2.67090892     -89.14      10.87
   19  WP18             51.42360708       -2.66840688      84.34      10.87
   20  WP19             51.42354413       -2.66835936      87.64       3.87
   21  WP20             51.42354413       -2.67113941    -105.12       3.87
   22  WP21             51.42352788       -2.67119888    -109.24       2.06
   23  WP22             51.42348117       -2.67114213    -105.31      -3.13
   24  WP23             51.42348117       -2.66831185      90.93      -3.13
   25  WP24             51.42341822       -2.66826433      94.23     -10.13
   26  WP25             51.42341822       -2.67106564    -100.00     -10.13
   27  WP26             51.42335527       -2.67098915     -94.70     -17.13
   28  WP27             51.42335527       -2.66834007      88.98     -17.13
   29  WP28             51.42329232       -2.66857820      72.47     -24.13
   30  WP29             51.42329232       -2.67091253     -89.39     -24.13
   31  WP30             51.42322936       -2.67077019     -79.52     -31.13
   32  WP31             51.42322936       -2.66881633      55.95     -31.13
   33  WP32             51.42316641       -2.66905446      39.44     -38.13
   34  WP33             51.42316641       -2.67062784     -69.65     -38.13
   35  WP34             51.42310346       -2.67048549     -59.78     -45.13
   36  WP35             51.42310346       -2.66929259      22.93     -45.13
   37  WP36             51.42304051       -2.66953072       6.42     -52.13
   38  WP37             51.42304051       -2.67034315     -49.91     -52.13
   39  WP38             51.42297755       -2.67020080     -40.04     -59.13
   40  WP39             51.42297755       -2.66976886     -10.09     -59.13
   41  WP40             51.42291460       -2.67000699     -26.60     -66.13
   42  WP41             51.42291460       -2.67005846     -30.17     -66.13
   43  WP42             51.42290608       -2.67003920     -28.84     -67.08
