index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42417365       -2.66883452      54.69      73.87
    2  W4_0             51.42352788       -2.67119888    -109.24       2.06
    3  W0_0             51.42329244       -2.67091280     -89.41     -24.12
    4  W1_0             51.42290608       -2.67003920     -28.84     -67.08
    5  W2_0             51.42338243       -2.66823732      96.10     -14.11
    6  W3_1             51.42411667       -2.66879151      57.68      67.53
    7  W4_1             51.42350226       -2.67104108     -98.30      -0.79
    8  W0_1             51.42333818       -2.67084172     -84.48     -19.03
    9  W1_1             51.42297775       -2.67002674     -27.97     -59.11
   10  W2_1             51.42341484       -2.66837336      86.67     -10.51
   11  W3_2             51.42403442       -2.66884101      54.24      58.38
   12  W4_2             51.42347663       -2.67088328     -87.36      -3.64
   13  W0_2             51.42338392       -2.67077064     -79.55     -13.95
   14  W1_2             51.42304942       -2.67001429     -27.11     -51.14
   15  W2_2             51.42344726       -2.66850940      77.24      -6.91
   16  W3_3             51.42395218       -2.66889051      50.81      49.24
   17  W4_3             51.42345100       -2.67072548     -76.42      -6.49
   18  W0_3             51.42342966       -2.67069956     -74.62      -8.86
   19  W1_3             51.42312109       -2.67000183     -26.24     -43.17
   20  W2_3             51.42347967       -2.66864545      67.80      -3.30
   21  W3_4             51.42386993       -2.66894001      47.38      40.09
   22  W4_4             51.42343421       -2.67053533     -63.23      -8.36
   23  W1_4             51.42319276       -2.66998937     -25.38     -35.20
   24  W2_4             51.42351208       -2.66878149      58.37       0.30
   25  W3_5             51.42378768       -2.66898952      43.95      30.95
   26  W4_5             51.42342119       -2.67033137     -49.09      -9.80
   27  W1_5             51.42326443       -2.66997692     -24.52     -27.23
   28  W2_5             51.42354449       -2.66891754      48.94       3.91
   29  W3_6             51.42370544       -2.66903902      40.51      21.80
   30  W4_6             51.42340817       -2.67012742     -34.95     -11.25
   31  W1_6             51.42333610       -2.66996446     -23.65     -19.27
   32  W2_6             51.42357690       -2.66905358      39.51       7.51
   33  W3_7             51.42362319       -2.66908852      37.08      12.66
   34  W4_7             51.42339515       -2.66992346     -20.81     -12.70
