index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42408553       -2.66888756      51.02      64.07
    2  WP1              51.42388768       -2.66961195       0.79      42.07
    3  WP2              51.42388768       -2.66873822      61.37      42.07
    4  WP3              51.42368983       -2.66858889      71.72      20.07
    5  WP4              51.42368983       -2.67033635     -49.44      20.07
    6  WP5              51.42350043       -2.67102981     -97.52      -0.99
    7  WP6              51.42349198       -2.67101955     -96.81      -1.93
    8  WP7              51.42349198       -2.66843955      82.08      -1.93
    9  WP8              51.42341716       -2.66838308      86.00     -10.25
   10  WP9              51.42329413       -2.66884847      53.73     -23.93
   11  WP10             51.42329413       -2.67072965     -76.71     -23.93
   12  WP11             51.42309628       -2.67028228     -45.69     -45.93
   13  WP12             51.42309628       -2.66959688       1.83     -45.93
   14  WP13             51.42298287       -2.67002585     -27.91     -58.54
