index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42408553       -2.66888756      51.02      64.07
    2  W4_0             51.42350043       -2.67102981     -97.52      -0.99
    3  W0_0             51.42334145       -2.67083664     -84.13     -18.67
    4  W1_0             51.42298287       -2.67002585     -27.91     -58.54
    5  W2_0             51.42341716       -2.66838308      86.00     -10.25
    6  W3_1             51.42390645       -2.66875239      60.39      44.16
    7  W4_1             51.42343142       -2.67049162     -60.20      -8.67
    8  W1_1             51.42320812       -2.66998671     -25.20     -33.50
    9  W2_1             51.42351902       -2.66881064      56.35       1.07
   10  W3_2             51.42364796       -2.66890796      49.60      15.41
   11  W4_2             51.42339050       -2.66985062     -15.76     -13.22
