index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42418540       -2.66882745      55.18      75.17
    2  W4_0             51.42353154       -2.67122142    -110.81       2.47
    3  W0_0             51.42328590       -2.67092296     -90.11     -24.85
    4  W1_0             51.42289585       -2.67004098     -28.96     -68.22
    5  W2_0             51.42337780       -2.66821788      97.45     -14.63
    6  W3_1             51.42414470       -2.66879673      57.31      70.65
    7  W4_1             51.42351324       -2.67110871    -102.99       0.43
    8  W0_1             51.42331857       -2.67087219     -86.59     -21.21
    9  W1_1             51.42294704       -2.67003208     -28.34     -62.53
   10  W2_1             51.42340095       -2.66831506      90.71     -12.05
   11  W3_2             51.42408595       -2.66883209      54.86      64.11
   12  W4_2             51.42349493       -2.67099600     -95.18      -1.60
   13  W0_2             51.42335125       -2.67082141     -83.07     -17.58
   14  W1_2             51.42299823       -2.67002318     -27.73     -56.84
   15  W2_2             51.42342410       -2.66841223      83.97      -9.48
   16  W3_3             51.42402721       -2.66886744      52.41      57.58
   17  W4_3             51.42347663       -2.67088328     -87.36      -3.64
   18  W0_3             51.42338392       -2.67077064     -79.55     -13.95
   19  W1_3             51.42304942       -2.67001429     -27.11     -51.14
   20  W2_3             51.42344726       -2.66850940      77.24      -6.91
   21  W3_4             51.42396846       -2.66890280      49.96      51.05
   22  W4_4             51.42345832       -2.67077057     -79.55      -5.67
   23  W0_4             51.42341659       -2.67071987     -76.03     -10.31
   24  W1_4             51.42310062       -2.67000539     -26.49     -45.45
   25  W2_4             51.42347041       -2.66860658      70.50      -4.33
   26  W3_5             51.42390971       -2.66893816      47.51      44.52
   27  W4_5             51.42344165       -2.67065187     -71.32      -7.53
   28  W1_5             51.42315181       -2.66999649     -25.87     -39.76
   29  W2_5             51.42349356       -2.66870375      63.76      -1.76
   30  W3_6             51.42385096       -2.66897352      45.06      37.98
   31  W4_6             51.42343235       -2.67050619     -61.22      -8.56
   32  W1_6             51.42320300       -2.66998760     -25.26     -34.06
   33  W2_6             51.42351671       -2.66880093      57.02       0.82
   34  W3_7             51.42379222       -2.66900888      42.60      31.45
   35  W4_7             51.42342305       -2.67036051     -51.11      -9.60
   36  W1_7             51.42325419       -2.66997870     -24.64     -28.37
   37  W2_7             51.42353986       -2.66889810      50.28       3.39
   38  W3_8             51.42373347       -2.66904423      40.15      24.92
   39  W4_8             51.42341375       -2.67021483     -41.01     -10.63
   40  W1_8             51.42330539       -2.66996980     -24.02     -22.68
   41  W2_8             51.42356301       -2.66899527      43.55       5.97
   42  W3_9             51.42367472       -2.66907959      37.70      18.39
   43  W4_9             51.42340445       -2.67006914     -30.91     -11.66
   44  W1_9             51.42335658       -2.66996090     -23.41     -16.99
   45  W2_9             51.42358616       -2.66909245      36.81       8.54
   46  W3_10            51.42361597       -2.66911495      35.25      11.86
   47  W4_10            51.42339515       -2.66992346     -20.81     -12.70
