index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42418540       -2.66882745      55.18      75.17
    2  WP1              51.42414043       -2.66899208      43.77      70.17
    3  WP2              51.42414043       -2.66879351      57.54      70.17
    4  WP3              51.42409547       -2.66875957      59.89      65.17
    5  WP4              51.42409547       -2.66915672      32.35      65.17
    6  WP5              51.42405050       -2.66932135      20.94      60.17
    7  WP6              51.42405050       -2.66872563      62.24      60.17
    8  WP7              51.42400554       -2.66869169      64.60      55.17
    9  WP8              51.42400554       -2.66948599       9.52      55.17
   10  WP9              51.42396057       -2.66965062      -1.89      50.17
   11  WP10             51.42396057       -2.66865775      66.95      50.17
   12  WP11             51.42391560       -2.66862381      69.30      45.17
   13  WP12             51.42391560       -2.66981526     -13.31      45.17
   14  WP13             51.42387064       -2.66997989     -24.72      40.17
   15  WP14             51.42387064       -2.66858987      71.66      40.17
   16  WP15             51.42382567       -2.66855593      74.01      35.17
   17  WP16             51.42382567       -2.67014453     -36.14      35.17
   18  WP17             51.42378071       -2.67030916     -47.55      30.17
   19  WP18             51.42378071       -2.66852199      76.36      30.17
   20  WP19             51.42373574       -2.66848805      78.72      25.17
   21  WP20             51.42373574       -2.67047380     -58.97      25.17
   22  WP21             51.42369077       -2.67063844     -70.38      20.17
   23  WP22             51.42369077       -2.66845411      81.07      20.17
   24  WP23             51.42364581       -2.66842017      83.42      15.17
   25  WP24             51.42364581       -2.67080307     -81.80      15.17
   26  WP25             51.42360084       -2.67096771     -93.21      10.17
   27  WP26             51.42360084       -2.66838623      85.78      10.17
   28  WP27             51.42355588       -2.66835229      88.13       5.17
   29  WP28             51.42355588       -2.67113234    -104.63       5.17
   30  WP29             51.42353154       -2.67122142    -110.81       2.47
   31  WP30             51.42351091       -2.67119635    -109.07       0.17
   32  WP31             51.42351091       -2.66831835      90.48       0.17
   33  WP32             51.42346594       -2.66828441      92.84      -4.83
   34  WP33             51.42346594       -2.67114172    -105.28      -4.83
   35  WP34             51.42342098       -2.67108708    -101.49      -9.83
   36  WP35             51.42342098       -2.66825047      95.19      -9.83
   37  WP36             51.42337780       -2.66821788      97.45     -14.63
   38  WP37             51.42337601       -2.66822466      96.98     -14.83
   39  WP38             51.42337601       -2.67103245     -97.70     -14.83
   40  WP39             51.42333105       -2.67097781     -93.92     -19.83
   41  WP40             51.42333105       -2.66839475      85.19     -19.83
   42  WP41             51.42328608       -2.66856484      73.39     -24.83
   43  WP42             51.42328608       -2.67092317     -90.13     -24.83
   44  WP43             51.42328590       -2.67092296     -90.11     -24.85
   45  WP44             51.42324111       -2.67082168     -83.09     -29.83
   46  WP45             51.42324111       -2.66873494      61.60     -29.83
   47  WP46             51.42319615       -2.66890503      49.80     -34.83
   48  WP47             51.42319615       -2.67072001     -76.04     -34.83
   49  WP48             51.42315118       -2.67061833     -68.99     -39.83
   50  WP49             51.42315118       -2.66907512      38.01     -39.83
   51  WP50             51.42310621       -2.66924522      26.22     -44.83
   52  WP51             51.42310621       -2.67051666     -61.94     -44.83
   53  WP52             51.42306125       -2.67041498     -54.89     -49.83
   54  WP53             51.42306125       -2.66941531      14.42     -49.83
   55  WP54             51.42301628       -2.66958540       2.63     -54.83
   56  WP55             51.42301628       -2.67031331     -47.84     -54.83
   57  WP56             51.42297132       -2.67021163     -40.79     -59.83
   58  WP57             51.42297132       -2.66975550      -9.16     -59.83
   59  WP58             51.42292635       -2.66992559     -20.96     -64.83
   60  WP59             51.42292635       -2.67010995     -33.74     -64.83
   61  WP60             51.42289585       -2.67004098     -28.96     -68.22
