index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42416190       -2.66884159      54.20      72.56
    2  W4_0             51.42352422       -2.67117634    -107.68       1.65
    3  W0_0             51.42329897       -2.67090265     -88.70     -23.39
    4  W1_0             51.42291632       -2.67003742     -28.71     -65.94
    5  W2_0             51.42338706       -2.66825675      94.75     -13.60
    6  W3_1             51.42408864       -2.66878630      58.04      64.41
    7  W4_1             51.42349127       -2.67097345     -93.61      -2.01
    8  W0_1             51.42335778       -2.67081126     -82.37     -16.85
    9  W1_1             51.42300847       -2.67002141     -27.60     -55.70
   10  W2_1             51.42342873       -2.66843167      82.63      -8.96
   11  W3_2             51.42398290       -2.66884994      53.62      52.66
   12  W4_2             51.42345832       -2.67077057     -79.55      -5.67
   13  W0_2             51.42341659       -2.67071987     -76.03     -10.31
   14  W1_2             51.42310062       -2.67000539     -26.49     -45.45
   15  W2_2             51.42347041       -2.66860658      70.50      -4.33
   16  W3_3             51.42387715       -2.66891358      49.21      40.90
   17  W4_3             51.42343421       -2.67053533     -63.23      -8.36
   18  W1_3             51.42319276       -2.66998937     -25.38     -35.20
   19  W2_3             51.42351208       -2.66878149      58.37       0.30
   20  W3_4             51.42377140       -2.66897723      44.80      29.14
   21  W4_4             51.42341747       -2.67027310     -45.05     -10.22
   22  W1_4             51.42328491       -2.66997336     -24.27     -24.96
   23  W2_4             51.42355375       -2.66895641      46.24       4.94
   24  W3_5             51.42366566       -2.66904087      40.39      17.38
   25  W4_5             51.42340073       -2.67001087     -26.87     -12.08
