index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42416190       -2.66884159      54.20      72.56
    2  WP1              51.42408096       -2.66913793      33.66      63.56
    3  WP2              51.42408096       -2.66878050      58.44      63.56
    4  WP3              51.42400002       -2.66871941      62.67      54.56
    5  WP4              51.42400002       -2.66943428      13.11      54.56
    6  WP5              51.42391908       -2.66973062      -7.44      45.56
    7  WP6              51.42391908       -2.66865832      66.91      45.56
    8  WP7              51.42383815       -2.66859722      71.15      36.56
    9  WP8              51.42383815       -2.67002696     -27.99      36.56
   10  WP9              51.42375721       -2.67032331     -48.53      27.56
   11  WP10             51.42375721       -2.66853613      75.38      27.56
   12  WP11             51.42367627       -2.66847504      79.62      18.56
   13  WP12             51.42367627       -2.67061965     -69.08      18.56
   14  WP13             51.42359533       -2.67091599     -89.63       9.56
   15  WP14             51.42359533       -2.66841395      83.85       9.56
   16  WP15             51.42351439       -2.66835286      88.09       0.56
   17  WP16             51.42351439       -2.67116439    -106.85       0.56
   18  WP17             51.42343345       -2.67106605    -100.03      -8.44
   19  WP18             51.42343345       -2.66829177      92.33      -8.44
   20  WP19             51.42338706       -2.66825675      94.75     -13.60
   21  WP20             51.42335251       -2.66838744      85.69     -17.44
   22  WP21             51.42335251       -2.67096770     -93.21     -17.44
   23  WP22             51.42329897       -2.67090265     -88.70     -23.39
   24  WP23             51.42327157       -2.67084070     -84.41     -26.44
   25  WP24             51.42327157       -2.66869361      64.46     -26.44
   26  WP25             51.42319063       -2.66899978      43.23     -35.44
   27  WP26             51.42319063       -2.67065768     -71.72     -35.44
   28  WP27             51.42310970       -2.67047467     -59.03     -44.44
   29  WP28             51.42310970       -2.66930595      22.01     -44.44
   30  WP29             51.42302876       -2.66961212       0.78     -53.44
   31  WP30             51.42302876       -2.67029165     -46.34     -53.44
   32  WP31             51.42294782       -2.67010863     -33.65     -62.44
   33  WP32             51.42294782       -2.66991829     -20.45     -62.44
   34  WP33             51.42291632       -2.67003742     -28.71     -65.94
