index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42406791       -2.66889816      50.28      62.11
    2  W4_0             51.42349493       -2.67099600     -95.18      -1.60
    3  W0_0             51.42335125       -2.67082141     -83.07     -17.58
    4  W1_0             51.42299823       -2.67002318     -27.73     -56.84
    5  W2_0             51.42342410       -2.66841223      83.97      -9.48
    6  W3_1             51.42386441       -2.66874456      60.93      39.48
    7  W4_1             51.42342305       -2.67036051     -51.11      -9.60
    8  W1_1             51.42325419       -2.66997870     -24.64     -28.37
    9  W2_1             51.42353986       -2.66889810      50.28       3.39
   10  W3_2             51.42357067       -2.66892135      48.67       6.82
   11  W4_2             51.42337655       -2.66963210      -0.61     -14.77
