index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42406791       -2.66889816      50.28      62.11
    2  WP1              51.42384308       -2.66972134      -6.80      37.11
    3  WP2              51.42384308       -2.66872846      62.05      37.11
    4  WP3              51.42361824       -2.66855877      73.81      12.11
    5  WP4              51.42361824       -2.67054452     -63.87      12.11
    6  WP5              51.42349493       -2.67099600     -95.18      -1.60
    7  WP6              51.42339341       -2.67087265     -86.62     -12.89
    8  WP7              51.42339341       -2.66852832      75.92     -12.89
    9  WP8              51.42316858       -2.66937879      16.96     -37.89
   10  WP9              51.42316858       -2.67040838     -54.43     -37.89
   11  WP10             51.42299823       -2.67002318     -27.73     -56.84
