index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  WP0              51.42417953       -2.66883098      54.94      74.52
    2  WP1              51.42412557       -2.66902855      41.24      68.52
    3  WP2              51.42412557       -2.66879026      57.76      68.52
    4  WP3              51.42407161       -2.66874953      60.59      62.52
    5  WP4              51.42407161       -2.66922611      27.54      62.52
    6  WP5              51.42401765       -2.66942367      13.84      56.52
    7  WP6              51.42401765       -2.66870880      63.41      56.52
    8  WP7              51.42396369       -2.66866807      66.23      50.52
    9  WP8              51.42396369       -2.66962123       0.14      50.52
   10  WP9              51.42390973       -2.66981879     -13.55      44.52
   11  WP10             51.42390973       -2.66862734      69.06      44.52
   12  WP11             51.42385577       -2.66858662      71.88      38.52
   13  WP12             51.42385577       -2.67001636     -27.25      38.52
   14  WP13             51.42380181       -2.67021392     -40.95      32.52
   15  WP14             51.42380181       -2.66854589      74.71      32.52
   16  WP15             51.42374785       -2.66850516      77.53      26.52
   17  WP16             51.42374785       -2.67041148     -54.65      26.52
   18  WP17             51.42369389       -2.67060904     -68.35      20.52
   19  WP18             51.42369389       -2.66846443      80.35      20.52
   20  WP19             51.42363993       -2.66842371      83.18      14.52
   21  WP20             51.42363993       -2.67080661     -82.04      14.52
   22  WP21             51.42358597       -2.67100417     -95.74       8.52
   23  WP22             51.42358597       -2.66838298      86.00       8.52
   24  WP23             51.42353201       -2.66834225      88.83       2.52
   25  WP24             51.42353201       -2.67120173    -109.44       2.52
   26  WP25             51.42352971       -2.67121015    -110.03       2.26
   27  WP26             51.42347806       -2.67114738    -105.67      -3.48
   28  WP27             51.42347806       -2.66830152      91.65      -3.48
   29  WP28             51.42342410       -2.66826080      94.47      -9.48
   30  WP29             51.42342410       -2.67108182    -101.13      -9.48
   31  WP30             51.42337014       -2.67101626     -96.58     -15.48
   32  WP31             51.42337014       -2.66826535      94.16     -15.48
   33  WP32             51.42331618       -2.66846947      80.00     -21.48
   34  WP33             51.42331618       -2.67095070     -92.03     -21.48
   35  WP34             51.42328917       -2.67091788     -89.76     -24.48
   36  WP35             51.42326222       -2.67085694     -85.53     -27.48
   37  WP36             51.42326222       -2.66867358      65.85     -27.48
   38  WP37             51.42320826       -2.66887769      51.70     -33.48
   39  WP38             51.42320826       -2.67073493     -77.08     -33.48
   40  WP39             51.42315430       -2.67061292     -68.61     -39.48
   41  WP40             51.42315430       -2.66908180      37.55     -39.48
   42  WP41             51.42310034       -2.66928591      23.39     -45.48
   43  WP42             51.42310034       -2.67049091     -60.16     -45.48
   44  WP43             51.42304638       -2.67036890     -51.70     -51.48
   45  WP44             51.42304638       -2.66949003       9.24     -51.48
   46  WP45             51.42299242       -2.66969414      -4.91     -57.48
   47  WP46             51.42299242       -2.67024689     -43.23     -57.48
   48  WP47             51.42293846       -2.67012488     -34.77     -63.48
   49  WP48             51.42293846       -2.66989825     -19.06     -63.48
   50  WP49             51.42290097       -2.67004009     -28.90     -67.65
