index  name        lat               lon              x_m        y_m
--------------------------------------------------------------------------------
    0  enter            51.42421477       -2.66866554      66.41      78.44
    1  W3_0             51.42417953       -2.66883098      54.94      74.52
    2  W4_0             51.42352971       -2.67121015    -110.03       2.26
    3  W0_0             51.42328917       -2.67091788     -89.76     -24.48
    4  W1_0             51.42290097       -2.67004009     -28.90     -67.65
    5  W2_0             51.42338012       -2.66822760      96.78     -14.37
    6  W3_1             51.42413069       -2.66879412      57.49      69.09
    7  W4_1             51.42350775       -2.67107490    -100.65      -0.18
    8  W0_1             51.42332838       -2.67085695     -85.53     -20.12
    9  W1_1             51.42296240       -2.67002941     -28.16     -60.82
   10  W2_1             51.42340790       -2.66834421      88.69     -11.28
   11  W3_2             51.42406019       -2.66883655      54.55      61.25
   12  W4_2             51.42348578       -2.67093964     -91.27      -2.62
   13  W0_2             51.42336758       -2.67079603     -81.31     -15.77
   14  W1_2             51.42302383       -2.67001874     -27.42     -53.99
   15  W2_2             51.42343568       -2.66846082      80.61      -8.19
   16  W3_3             51.42398969       -2.66887898      51.61      53.41
   17  W4_3             51.42346381       -2.67080438     -81.89      -5.06
   18  W0_3             51.42340679       -2.67073510     -77.09     -11.40
   19  W1_3             51.42308526       -2.67000806     -26.68     -47.16
   20  W2_3             51.42346346       -2.66857743      72.52      -5.10
   21  W3_4             51.42391919       -2.66892141      48.67      45.57
   22  W4_4             51.42344258       -2.67066644     -72.33      -7.42
   23  W1_4             51.42314669       -2.66999738     -25.93     -40.33
   24  W2_4             51.42349124       -2.66869404      64.43      -2.01
   25  W3_5             51.42384870       -2.66896384      45.73      37.73
   26  W4_5             51.42343142       -2.67049162     -60.20      -8.67
   27  W1_5             51.42320812       -2.66998671     -25.20     -33.50
   28  W2_5             51.42351902       -2.66881064      56.35       1.07
   29  W3_6             51.42377820       -2.66900627      42.78      29.89
   30  W4_6             51.42342026       -2.67031681     -48.08      -9.91
   31  W1_6             51.42326955       -2.66997603     -24.45     -26.66
   32  W2_6             51.42354681       -2.66892725      48.26       4.16
   33  W3_7             51.42370770       -2.66904870      39.84      22.05
   34  W4_7             51.42340910       -2.67014199     -35.96     -11.15
   35  W1_7             51.42333098       -2.66996535     -23.71     -19.83
   36  W2_7             51.42357459       -2.66904386      40.18       7.25
   37  W3_8             51.42363721       -2.66909113      36.90      14.22
   38  W4_8             51.42339794       -2.66996717     -23.84     -12.39
